"","case_number","to_pay","paid","balance"
"85","19-009069-co"," 205.00"," 205.00","0.00"
"86","19-009070-co"," 195.00"," 195.00","0.00"
"87","19-009072-co"," 215.00"," 215.00","0.00"
"88","19-008978-co"," 198.50"," 198.50","0.00"
"89","19-008984-co"," 195.00"," 195.00","0.00"
"90","19-008987-co"," 0.45"," 0.45","0.00"
"91","19-008990-co"," 225.00"," 225.00","0.00"
"92","19-008993-co"," 195.00"," 195.00","0.00"
"93","19-008994-co"," 195.00"," 195.00","0.00"
"94","19-008995-co"," 195.00"," 195.00","0.00"
"95","19-008996-co"," 205.00"," 205.00","0.00"
"96","19-008997-co"," 6.69"," 6.69","0.00"
"97","19-008998-co"," 205.00"," 205.00","0.00"
"98","19-008999-co"," 211.95"," 211.95","0.00"
"99","19-009000-co"," 195.00"," 195.00","0.00"
"100","19-009001-co"," 195.69"," 195.69","0.00"
"101","19-009003-co"," 0.60"," 0.60","0.00"
"102","19-009004-co"," 215.00"," 215.00","0.00"
"103","19-009005-co"," 205.00"," 205.00","0.00"
"104","19-009007-co"," 195.00"," 195.00","0.00"
"105","19-009008-co"," 195.00"," 195.00","0.00"
"106","19-009009-co"," 215.00"," 215.00","0.00"
"107","19-009010-co"," 205.00"," 205.00","0.00"
"108","19-009012-co"," 195.00"," 195.00","0.00"
"109","19-008976-co"," 205.00"," 205.00","0.00"
"110","19-008977-co"," 205.00"," 205.00","0.00"
"111","19-008953-co"," 210.30"," 210.30","0.00"
"112","19-008954-co"," 0.90"," 0.90","0.00"
"113","19-008955-co"," 195.00"," 195.00","0.00"
"114","19-008956-co"," 195.00"," 195.00","0.00"
"115","19-008957-co"," 195.00"," 195.00","0.00"
"116","19-008958-co"," 196.50"," 196.50","0.00"
"117","19-008959-co"," 204.17"," 204.17","0.00"
"118","19-008960-co"," 195.00"," 195.00","0.00"
"119","19-008961-co"," 195.00"," 195.00","0.00"
"120","19-008962-co"," 205.00"," 205.00","0.00"
"121","19-008963-co"," 195.00"," 195.00","0.00"
"122","19-008964-co"," 195.00"," 195.00","0.00"
"123","19-008965-co"," 195.00"," 195.00","0.00"
"124","19-008966-co"," 195.00"," 195.00","0.00"
"125","19-008967-co"," 0.60"," 0.60","0.00"
"126","19-008968-co"," 195.00"," 195.00","0.00"
"127","19-008969-co"," 195.00"," 195.00","0.00"
"128","19-008970-co"," 195.00"," 195.00","0.00"
"129","19-008971-co"," 0.45"," 0.45","0.00"
"130","19-007104-ci"," 430.00"," 430.00","0.00"
"131","19-008972-co"," 195.00"," 195.00","0.00"
"132","19-008973-co"," 195.00"," 195.00","0.00"
"133","19-008974-co"," 205.00"," 205.00","0.00"
"134","19-008975-co"," 0.90"," 0.90","0.00"
"135","19-008891-co"," 205.00"," 205.00","0.00"
"136","19-008892-co"," 195.00"," 195.00","0.00"
"137","19-008893-co"," 195.00"," 195.00","0.00"
"138","19-008895-co"," 205.00"," 205.00","0.00"
"139","19-008896-co"," 195.00"," 195.00","0.00"
"140","19-008897-co"," 195.00"," 195.00","0.00"
"141","19-008898-co"," 227.50"," 227.50","0.00"
"142","19-008902-co"," 199.70"," 199.70","0.00"
"143","19-008904-co"," 200.69"," 200.69","0.00"
"144","19-008907-co"," 195.00"," 195.00","0.00"
"145","19-008908-co"," 0.00"," 0.00","0.00"
"146","19-008910-co"," 205.00"," 205.00","0.00"
"147","19-008912-co"," 0.15"," 0.15","0.00"
"148","19-008914-co"," 205.00"," 205.00","0.00"
"149","19-008915-co"," 195.00"," 195.00","0.00"
"150","19-008916-co"," 205.00"," 205.00","0.00"
"151","19-008917-co"," 195.00"," 195.00","0.00"
"152","19-008918-co"," 0.30"," 0.30","0.00"
"153","19-008920-co"," 195.00"," 195.00","0.00"
"154","19-008921-co"," 195.00"," 195.00","0.00"
"155","19-008922-co"," 205.00"," 205.00","0.00"
"156","19-008923-co"," 0.15"," 0.15","0.00"
"157","19-008924-co"," 195.00"," 195.00","0.00"
"158","19-008927-co"," 195.00"," 195.00","0.00"
"159","19-008929-co"," 212.13"," 212.13","0.00"
"160","19-008930-co"," 215.00"," 215.00","0.00"
"161","19-008934-co"," 205.00"," 205.00","0.00"
"162","19-008938-co"," 1.98"," 1.98","0.00"
"163","19-008939-co"," 195.00"," 195.00","0.00"
