"","case_number","to_pay","paid","balance"
"45","19-007159-co"," 312.58"," 312.58","0.00"
"46","19-007161-co"," 211.71"," 211.71","0.00"
"47","19-007162-co"," 205.00"," 205.00","0.00"
"48","19-007163-co"," 330.23"," 330.23","0.00"
"49","19-007164-co"," 195.00"," 195.00","0.00"
"50","19-007165-co"," 195.00"," 195.00","0.00"
"51","19-007166-co"," 323.50"," 323.50","0.00"
"52","19-007167-co"," 312.07"," 312.07","0.00"
"53","19-007168-co"," 195.00"," 195.00","0.00"
"54","19-007169-co"," 195.00"," 195.00","0.00"
"55","19-007171-co"," 205.00"," 205.00","0.00"
"56","19-007172-co"," 195.00"," 195.00","0.00"
"57","19-007173-co"," 205.00"," 205.00","0.00"
"58","19-007174-co"," 195.00"," 195.00","0.00"
"59","19-007175-co"," 195.00"," 195.00","0.00"
"60","19-007176-co"," 195.00"," 195.00","0.00"
"61","19-007177-co"," 195.00"," 195.00","0.00"
"62","19-007109-co"," 195.00"," 195.00","0.00"
"63","19-007110-co"," 197.19"," 197.19","0.00"
"64","19-007112-co"," 205.00"," 205.00","0.00"
"65","19-007113-co"," 208.90"," 208.90","0.00"
"66","19-007114-co"," 195.00"," 195.00","0.00"
"67","19-007115-co"," 0.90"," 0.90","0.00"
"68","19-007116-co"," 195.00"," 195.00","0.00"
"69","19-007117-co"," 202.15"," 202.15","0.00"
"70","19-007118-co"," 195.00"," 195.00","0.00"
"71","19-007119-co"," 195.00"," 195.00","0.00"
"72","19-007120-co"," 202.15"," 202.15","0.00"
"73","19-007121-co"," 0.30"," 0.30","0.00"
"74","19-007122-co"," 195.00"," 195.00","0.00"
"75","19-007123-co"," 0.60"," 0.60","0.00"
"76","19-007124-co"," 195.00"," 195.00","0.00"
"77","19-007125-co"," 195.69"," 195.69","0.00"
"78","19-007126-co"," 205.00"," 205.00","0.00"
"79","19-007127-co"," 195.00"," 195.00","0.00"
"80","19-007128-co"," 195.00"," 195.00","0.00"
"81","19-007129-co"," 195.00"," 195.00","0.00"
"82","19-007130-co"," 205.00"," 205.00","0.00"
"83","19-007131-co"," 195.00"," 195.00","0.00"
"84","19-007132-co"," 208.60"," 208.60","0.00"
"85","19-007133-co"," 195.00"," 195.00","0.00"
"86","19-007135-co"," 195.00"," 195.00","0.00"
"87","19-007136-co"," 195.00"," 195.00","0.00"
"88","19-007137-co"," 205.00"," 205.00","0.00"
"89","19-007138-co"," 215.00"," 215.00","0.00"
"90","19-007139-co"," 195.00"," 195.00","0.00"
"91","19-007140-co"," 205.00"," 205.00","0.00"
"92","19-007160-co"," 215.00"," 215.00","0.00"
"93","19-007158-co"," 295.00"," 295.00","0.00"
"94","19-007061-co"," 195.00"," 195.00","0.00"
"95","19-007062-co"," 0.30"," 0.30","0.00"
"96","19-007063-co"," 195.00"," 195.00","0.00"
"97","19-007064-co"," 195.00"," 195.00","0.00"
"98","19-007065-co"," 196.50"," 196.50","0.00"
"99","19-007066-co"," 195.00"," 195.00","0.00"
"100","19-007068-co"," 195.00"," 195.00","0.00"
"101","19-007069-co"," 215.00"," 215.00","0.00"
"102","19-007070-co"," 205.00"," 205.00","0.00"
"103","19-007071-co"," 195.00"," 195.00","0.00"
"104","19-007072-co"," 195.00"," 195.00","0.00"
"105","19-007074-co"," 225.00"," 225.00","0.00"
"106","19-007075-co"," 208.80"," 208.80","0.00"
"107","19-007076-co"," 195.00"," 195.00","0.00"
"108","19-007077-co"," 195.00"," 195.00","0.00"
"109","19-007078-co"," 195.00"," 195.00","0.00"
"110","19-007079-co"," 314.35"," 314.35","0.00"
"111","19-007081-co"," 195.00"," 195.00","0.00"
